class	channel	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255
markers	hue	0.0063918324786453075	0.00639463464860764	0.006390731950377105	0.006380136665451123	0.006362882094699031	0.006339022384115776	0.006308632241886919	0.006271806548838661	0.006228659865119959	0.006179325836711535	0.0061239565060708144	0.006062721531895732	0.005995807323617277	0.005923416096808341	0.005845764856213675	0.005763084313566711	0.005675617747750295	0.0055836198151865985	0.005487355318597145	0.005387097942459224	0.005283128963599041	0.005175735945402759	0.005065211424098998	0.004951851595466069	0.004835955010152823	0.004717821285571608	0.004597749842031609	0.004476038670432824	0.004352983138442597	0.0042288748416294784	0.00410400050554103	0.0039786409441883094	0.003853070079845043	0.003727554028490388	0.0036023502546282315	0.003477706798606711	0.0033538615789470293	0.003231041771576043	0.003109463267248378	0.002989330207845789	0.002870834601660221	0.002754156017206723	0.0026394613545780194	0.0025269046928466958	0.0024166272115498004	0.002308757183853638	0.00220341003859994	0.002100688488077027	0.0020006827180454813	0.0019034706362753824	0.0018091181756248265	0.0017176796475043914	0.0016291981414306904	0.0015437059662736067	0.001461225128742523	0.0013817678446387616	0.0013053370784188896	0.0012319271066670542	0.001161524101159832	0.0010941067273220722	0.0010296467540137002	0.0009681096707529045	0.0009094553086661103	0.0008536384616580336	0.0008006095045112961	0.0007503150048521946	0.0007026983261536286	0.0006577002191851973	0.0006152593995608917	0.0005753131092739463	0.0005377976603437688	0.0005026489589288475	0.0004698030084801848	0.0004391963907200375	0.00041076672342878456	0.0003844530942074882	0.00036019646955346145	0.00033794007874044364	0.0003176297721328362	0.0002992143536846085	0.00028264588747770226	0.0002678799782421708	0.0002548760258712048	0.00024359745399904487	0.00023401191274955872	0.00022609145578859945	0.00021981269182554344	0.0002151569107097518	0.00021211018425763926	0.00021066344192704727	0.00021081252142939486	0.00021255819433840489	0.00021590616671875314	0.0002208670547608332	0.00022745633537054702	0.0002356942716278222	0.00024560581299599293	0.0002572204701382273	0.0002705721641786009	0.00028569905023570204	0.0003026433150576203	0.00032145094859999313	0.00034217148941496683	0.000364857743759455	0.000389565478387009	0.0004163530870595711	0.00044528123090414564	0.00047641245284495956	0.0005098107664645455	0.0005455412197866843	0.0005836694346304351	0.0006242611223563773	0.0006673815770131419	0.0007130951470930123	0.0007614646873181734	0.0008125509921028614	0.0008664122125686578	0.000923103259228854	0.0009826751927004347	0.0010451746050462209	0.0011106429945925945	0.0011791161373064954	0.0012506234580465184	0.0013251874052235095	0.0014028228326127172	0.0014835363922492222	0.0015673259425079058	0.0016541799756147316	0.0017440770689556623	0.0018369853646385598	0.0019328620818208127	0.0020316530663369264	0.002133292382144923	0.0022377019490550675	0.0023447912311079754	0.002454456979830295	0.0025665830364131636	0.002681040196632278	0.002797686142057372	0.0029163654407845588	0.0030369096205677213	0.0031591373168267734	0.003282854497572752	0.003407854766815478	0.0035339197475110144	0.0036608195445676246	0.003788313287864304	0.003916149754649075	0.004044068070080226	0.004171798484058351	0.004299063221874523	0.004425577405577367	0.00455105004234422	0.0046751850755356135	0.004797682493523673	0.004918239490820617	0.0050365516754984204	0.005152314316392021	0.005265223623120785	0.005374978051552861	0.00548127962697905	0.005583835276960768	0.005682358165577043	0.005776569020619499	0.005866197445175866	0.00595098320500464	0.0060306774831369895	0.0061050440932476635	0.006173860643516122	0.006236919642948882	0.006294029542457028	0.006345015703372513	0.006389721286542996	0.006428008055664151	0.006459757089083775	0.0064848693949426895	0.006503266425192964	0.006514890484753559	0.006519705032815668	0.006517694874092068	0.006508866238605867	0.006493246749429469	0.006470885278604989	0.006441851692295463	0.0064062364870250505	0.0063641503196572614	0.006315723434525978	0.006261104991869248	0.006200462302410102	0.006133979973580698	0.006061858973484749	0.005984315619238063	0.005901580496809549	0.005813897319905122	0.005721521735787441	0.005624720086205753	0.005523768131820166	0.005418949748640795	0.005310555605066426	0.005198881828098726	0.00508422866722886	0.004966899164344843	0.004847197837793773	0.004725429388455359	0.004601897435347246	0.004476903287892197	0.0043507447615362725	0.004223715042923349	0.004096101610308041	0.003968185214333387	0.003840238923717241	0.0037125272397882953	0.0035853052831957546	0.0034588180554911514	0.0033332997776532717	0.003208973307003973	0.0030860496333478637	0.0029647274545698994	0.0028451928313452226	0.002727618920060109	0.0026121657825165286	0.0024989802704987528	0.0023881959828215447	0.0022799332920595003	0.002174299437777792	0.0020713886827472836	0.001971282528333813	0.0018740499850027077	0.0017797478936748643	0.0016884212935117772	0.0016001038315900458	0.0015148182098537442	0.0014325766647000557	0.0013533814745622184	0.0012772254908980068	0.0012040926880723109	0.001133958727734805	0.0010667915334352585	0.0010025518713880112	0.0009411939334889822	0.0008826659189013882	0.0008269106107561747	0.0007738659447573208	0.0007234655667375076	0.000675639376472851	0.0006303140553339836	0.0005874135756217244	0.0005468596897062648	0.0005085723973568586	0.0004724703899122019	0.0004384714701977517	0.00040649294734366857	0.0003764520058938331	0.0003482660488214474	0.0003218530142786114	0.000297131666105118
background	hue	0.008728459627335435	0.009004289262890302	0.009271365891494167	0.009528461568519326	0.009774358124975003	0.01000785469545121	0.010227775560841684	0.010432978280981975	0.010622362080402764	0.010794876437094734	0.010949529809960851	0.011085398426018595	0.011201635033996406	0.011297477517368378	0.011372257247724293	0.011425407049298736	0.011456468638059157	0.011465099394489774	0.011451078328520433	0.011414311098241403	0.011354833951293164	0.011272816469154146	0.01116856300986278	0.011042512763742584	0.010895238359053545	0.010727442979650427	0.010539955984049098	0.01033372704406976	0.010109818850652394	0.00986939846370561	0.009613727411129055	0.00934415066863638	0.009062084675946491	0.008769004565626686	0.008466430797783121	0.008155915406436644	0.007839028071462821	0.00751734223321945	0.007192421465377743	0.006865806315105303	0.006539001808836187	0.0062134658067507014	0.005890598370221757	0.005571732284403836	0.005258124853448969	0.004950951059184535	0.004651298146155023	0.004360161667394695	0.004078442996821172	0.0038069482863498203	0.00354638881929999	0.00329738268691058	0.0030604576922435844	0.002836055365791538	0.002624535959998151	0.0024261842758497173	0.002241216163819021	0.0020697855337919024	0.0019119917041631326	0.0017678869189793976	0.001637483863713201	0.0015207630148147224	0.001417679665423089	0.0013281704793183448	0.0012521594371422793	0.0011895630528847077	0.0011402947543937717	0.0011042683389961155	0.001081400433977319	0.001071611911446677	0.001074828227762715	0.0010909786789907658	0.0011199945855565152	0.0011618064410920193	0.0012163400821694603	0.001283511956889832	0.001363223590826015	0.0014553553682784943	0.0015597597648351713	0.0016762541834680863	0.0018046135604733327	0.0019445629190911837	0.0020957700572646256	0.0022578385613618718	0.0024303013394917604	0.0026126148660185395	0.0028041543228347707	0.00300420981275542	0.003211983806017238	0.0034265899623705607	0.0036470534488079794	0.0038723128468702004	0.004101223714103794	0.004332563832128627	0.004565040139521033	0.004797297312041879	0.00502792791642661	0.005255484027855626	0.0054784901662268785	0.00569545737335661	0.005904898223127692	0.0061053425302306395	0.006295353501276753	0.006473544055385006	0.006638593030412534	0.006789260986230938	0.006924405318104401	0.007042994401388366	0.007144120503347949	0.007227011218624018	0.007291039211306788	0.007335730078106768	0.007360768182986322	0.007366000352955416	0.007351437366565295	0.007317253209909731	0.007263782118581776	0.007191513466949169	0.007101084607245622	0.00699327179933165	0.006868979406650832	0.0067292275641049355	0.00657513854864246	0.00640792210280118	0.00622885997493713	0.006039289947247718	0.005840589623970168	0.005634160247482974	0.005421410799791179	0.005203742631505232	0.0049825348405171015	0.004759130598822026	0.004534824599084915	0.00431085176340912	0.004088377326151515	0.003868488371356291	0.003652186874232597	0.003440384265811406	0.003233897511146115	0.0030334466647463096	0.002839653842837126	0.0026530435308945183	0.0024740441269928966	0.0023029906069801658	0.002140128186430564	0.0019856168466854123	0.0018395365879572741	0.0017018932712510276	0.0015726249124897564	0.0014516082964195242	0.0013386657842650084	0.0012335721973554686	0.0011360616686671287	0.0010458343650650273	0.0009625629946195429	0.0008858990253864114	0.000815478554168376	0.0007509277757505703	0.0006918680146852626	0.000637920292699741	0.0005887094150569239	0.000543867568594001	0.0005030374326177539	0.00046587481129704513	0.0004320508026438278	0.00040125352461976307	0.00037318942337316704	0.00034758419214497524	0.00032418333203988167	0.0003027523877066399	0.00028307689208231475	0.00026496205480519547	0.00024823222876660416	0.00023273018862874598	0.00021831625405686168	0.00020486728896873782	0.00019227560635807407	0.0001804478062607472	0.00016930357226033942	0.00015877444962225748	0.00014880262575093885	0.00013933973122408526	0.0001303456772098355	0.00012178754265167261	0.0001136385222426337	0.00010587694393252214	9.848536254367125e-05	9.144973403343812e-05	8.475867305289974e-05	7.840279472590343e-05	7.237414002208969e-05	6.666568272996718e-05	6.127091485643323e-05	5.61835062889684e-05	5.1397033754573466e-05	4.690477349078966e-05	4.269955160149571e-05	3.877364579364226e-05	3.511873206844662e-05	3.172586995772441e-05	2.8585520037368587e-05	2.568758769880136e-05	2.3021487498213257e-05	2.0576222815017218e-05	1.8340476017875556e-05	1.6302704842160326e-05	1.4451241211001078e-05	1.2774389268596481e-05	1.1260519926124175e-05	9.898159735941258e-06	8.676072399148188e-06	7.583331667131536e-06	6.609384813372373e-06	5.744106223336027e-06	4.9778409750353985e-06	4.30143855981784e-06	3.7062771223550307e-06	3.1842787821904033e-06	2.7279167389792214e-06	2.3302149629811657e-06	1.9847413352534724e-06	1.685595132560207e-06	1.427389754686889e-06	1.2052315711188072e-06	1.0146957243129716e-06	8.517996722848217e-07	7.129751878719207e-07	5.95039459405681e-07	4.951658607969436e-07	4.1085488097223884e-07	3.399056254986633e-07	2.803882289900091e-07	2.3061744696603757e-07	1.8912763132743177e-07	1.5464923524999754e-07	1.2608694152345282e-07	1.0249946332862866e-07	8.308102810628331e-08	6.71445232871409e-08	5.4106256854224995e-08	4.347226552260157e-08	3.482608820901286e-08	2.7817911847466217e-08	2.2154989896645803e-08	1.7593230498481776e-08	1.3929850625199485e-08	1.0996994171042393e-08	8.65621532503057e-09	6.793733272277581e-09	5.316369935203767e-09	4.148088756509546e-09	3.227059168051327e-09	2.5031781571682205e-09	1.9359870525506804e-09	1.4929281637733639e-09	1.1478921161845616e-09
leaf	hue	0.0015022381543975437	0.001731437527344183	0.0019845458382911504	0.0022647326690889706	0.0025762383696655514	0.0029244713875074446	0.00331599923696693	0.00375840636187858	0.004260003211623762	0.004829386349041134	0.005474867892404756	0.006203811858789372	0.00702193228843033	0.00793262049207671	0.008936373778569706	0.010030393780343887	0.01120840841230884	0.012460748486377621	0.013774680525394621	0.015134965180444335	0.016524580514240203	0.017925526090460348	0.019319611479803007	0.020689134211694805	0.022017368096018147	0.023288811621215377	0.024489183982227575	0.025605197644207125	0.02662417474169147	0.027533603723938885	0.02832074737747975	0.028972410707641366	0.029474956869381418	0.029814623965415548	0.029978150114305865	0.02995366546243456	0.029731765114977247	0.029306643068401788	0.02867714927266464	0.027847632633969967	0.026828451981689226	0.025636071946302862	0.024292706321153344	0.02282552145949856	0.021265459907890992	0.01964578378111603	0.018000463817297634	0.016362551113572456	0.014762663941605449	0.013227703536673607	0.011779883709550404	0.010436123893117039	0.009207818439624283	0.008100960905138097	0.007116574100380904	0.0062513770680304335	0.0054986097824459785	0.0048489349596768285	0.00429134263183556	0.003813995141782793	0.003404965711549298	0.0030528405204213547	0.0027471703790514774	0.0024787721539915463	0.0022398911752050756	0.0020242435709290013	0.0018269618947731926	0.0016444689448632487	0.0014743039251564013	0.0013149227346128623	0.0011654908282722914	0.0010256833139004103	0.0008955031361642366	0.000775124631700182	0.000664766573232597	0.0005645961345603051	0.0004746630220653449	0.00039486132473758316	0.00032491541324967965	0.0002643854436814581	0.00021268766225803683	0.00016912472445353022	0.00013292158298656385	0.00010326309824376449	7.933030246753024e-05	6.0333118820837155e-05	4.553821075209956e-05	3.429143563140333e-05	2.603503313859558e-05	2.032014598100288e-05	1.6815522214199327e-05	1.5313280414946604e-05	1.5732447312816868e-05	1.8120636727051366e-05	2.2653779464401022e-05	2.9633300826325858e-05	3.9479651431628895e-05	5.2720711501166926e-05	6.997339341528513e-05	9.19168399344987e-05	0.00011925601505184597	0.00015267523816758462	0.00019278230217645076	0.00024004516895702451	0.00029472471961581757	0.0003568084666194949	0.0004259512897586324	0.0005014299092430001	0.0005821177575637957	0.0006664860257963486	0.0007526349117320925	0.0008383565845150214	0.0009212283307796476	0.0009987310985013998	0.0010683856135916183	0.0011278958276555884	0.001175288024295221	0.0012090337092479815	0.0012281455171927653	0.0012322376843509095	0.0012215458905718143	0.0011969050684598641	0.0011596876456622138	0.0011117081718757798	0.001055103001693703	0.0009921954020155998	0.000925357025419483	0.0008568761872435736	0.000788841978010815	0.0007230511901788402	0.0006609426275086391	0.0006035608722430789	0.0005515492391060331	0.0005051696114352402	0.0004643452334067288	0.0004287213671622452	0.0003977380181014763	0.00037070866401835764	0.00034689905863301485	0.00032560067305644375	0.0003061941364579273	0.00028819907455466945	0.000271307942703934	0.00025540271856306187	0.00024055456121066252	0.00022700766802724479	0.00021514949332322383	0.00020547018679561654	0.00019851455106980877	0.00019483002239354598	0.00019491418578839817	0.00019916519308267117	0.00020783820044566117	0.00022101060423015227	0.00023855842930676856	0.00026014569136899974	0.0002852278838386565	0.00031306990957085453	0.0003427777932725726	0.00037334241951020016	0.0004036924368444306	0.00043275248357848445	0.00045950217703047457	0.0004830310092511168	0.000502584509693142	0.0005175978023105748	0.0005277139475904984	0.0005327860788629497	0.0005328641069628803	0.0005281684311608428	0.0005190544161267613	0.0005059721827199861	0.0004894264077019793	0.00046994033207056914	0.0004480271426166683	0.0004241705044923532	0.0003988145212497141	0.0003723620253492741	0.00034517906094688636	0.00031760284450810906	0.0002899504202274642	0.00026252561921212987	0.00023562266369525314	0.00020952566569423293	0.00018450417890062505	0.00016080572057545334	0.00013864668043649762	0.0001182032283250109	9.96037329503125e-05	8.292386936226292e-05	6.818511229231442e-05	5.5356785186334134e-05	4.436135073804098e-05	3.50822554250261e-05	2.7373415478805657e-05	2.1069362028683393e-05	1.5995130508169144e-05	1.1975148275164732e-05	8.840601492366446e-06	6.435005229193959e-06	4.61792439179872e-06	3.2669733710441926e-06	2.2783470673392583e-06	1.5662037497218407e-06	1.0612376446533822e-06	7.087577184319254e-07	4.6654214339797693e-07	3.026781507575212e-07	1.9353489427695881e-07	1.219601227670502e-07	7.574437051799584e-08	4.6360850931505484e-08	2.796510320383138e-08	1.662423351324841e-08	9.739211762868814e-09	5.6228988729662885e-09	3.199254322087001e-09	1.7938552333119124e-09	9.912302852450781e-10	5.397702485736087e-10	2.896605918181879e-10	1.5318457453585031e-10	7.9833472075527e-11	4.1001401465456904e-11	2.0751788429800743e-11	1.0350350112455944e-11	5.087411174239964e-12	2.464226367835132e-12	1.1762673651153543e-12	5.533156471377312e-13	2.564963080085573e-13	1.1717376512303336e-13	5.2749775601931704e-14	2.3401931175058335e-14	1.0231128357359892e-14	4.4079437376981525e-15	1.8714970996058905e-15	7.830379740760727e-16	3.2286204414936045e-16	1.3118724833366453e-16	5.2529913142141205e-17	2.0728226416069653e-17	8.060425767592615e-18	3.0888312297462014e-18	1.1664623294997417e-18	4.340977991152827e-19	1.592006241061869e-19	5.753634292228929e-20	2.0491796787308166e-20	7.192139755013098e-21	2.487576702228494e-21	8.478814310623298e-22	2.8479610416075937e-22	9.426994142262638e-23	3.075053673741061e-23	9.884903453088116e-24
markers	saturation	1.6504482079030408e-65	1.7485006495347067e-64	1.8158774109247592e-63	1.8486909752289303e-62	1.8450129905396064e-61	1.8050619134123028e-60	1.7311815275194655e-59	1.6276132750208892e-58	1.5000931599265563e-57	1.3553264960090415e-56	1.2004072938334903e-55	1.0422517717072062e-54	8.871076224010262e-54	7.401844853629132e-53	6.054300901191271e-52	4.854547506424562e-51	3.8158792708845584e-50	2.940370212687456e-49	2.2211165010442153e-48	1.6447618756048157e-47	1.1939813422140265e-46	8.496798775774531e-46	5.927572754676043e-45	4.0538037663123606e-44	2.717774000618606e-43	1.78619671579713e-42	1.1508298610194858e-41	7.26874489642492e-41	4.500645467290754e-40	2.7318564474711972e-39	1.6255835183379526e-38	9.482649798384744e-38	5.4227532438571745e-37	3.0400477071906895e-36	1.6707525229347392e-35	9.00151882632044e-35	4.7543615325549695e-34	2.4617399880500025e-33	1.2495872367920236e-32	6.21822296166307e-32	3.033487604887832e-31	1.4507591956307413e-30	6.801842819848521e-30	3.1263458297461947e-29	1.4087296473847295e-28	6.222996922758819e-28	2.694969964256467e-27	1.1441733758568682e-26	4.7622753603459947e-26	1.9432252957781417e-25	7.77354402928556e-25	3.0486216865269567e-24	1.1721357736174837e-23	4.4181821092033025e-23	1.6326836529213968e-22	5.914999245447506e-22	2.1008888777241954e-21	7.315580209028037e-21	2.4974303767581955e-20	8.358696992145507e-20	2.7427489692378957e-19	8.823432774566713e-19	2.782883011373524e-18	8.605181240287933e-18	2.6087634750947583e-17	7.753913655319703e-17	2.2595439937110125e-16	6.455595314566543e-16	1.8082962236203163e-15	4.966184147630675e-15	1.337205872425392e-14	3.530191392168253e-14	9.137452313838783e-14	2.3188963384988806e-13	5.769914839877935e-13	1.4076410552094707e-12	3.36706561841307e-12	7.89680002899264e-12	1.8159064767203634e-11	4.094318024240449e-11	9.05145781693425e-11	1.9620388167703856e-10	4.170154649845115e-10	8.690720934333031e-10	1.7759155296412616e-09	3.558407467591761e-09	6.991336564956475e-09	1.3469160035035557e-08	2.5444948376291386e-08	4.7135576730446224e-08	8.562256372909339e-08	1.525198503437998e-07	2.664223141872762e-07	4.5638267459152035e-07	7.666751013758596e-07	1.2630713069130512e-06	2.0407552095347692e-06	3.2338112226542856e-06	5.025920999302216e-06	7.661491721567332e-06	1.1455939631600334e-05	1.68033252104243e-05	2.417908198826675e-05	3.4135337468118165e-05	4.728645109612606e-05	6.428304009581952e-05	8.57740265393913e-05	0.00011235811534861423	0.00014452845838408798	0.00018261676729482146	0.0002267453514327799	0.0002767969284446086	0.0003324120405501275	0.0003930220948610904	0.00045792227330298895	0.0005263830218302101	0.000597792115401375	0.0006718123396291396	0.000748533794265709	0.0008285959119344926	0.0009132535302907051	0.0010043644170820516	0.0011042826632462399	0.001215652872545215	0.0013411130502404098	0.0014829280058551966	0.0016425880913623905	0.0018204182419105483	0.0020152477567828243	0.002224190647552557	0.002442578956363651	0.002664077377052006	0.002880987994578935	0.0030847312087585853	0.0032664659471104717	0.0034177925130202493	0.0035314680965438864	0.0036020605282313808	0.0036264713621046237	0.0036042742436505175	0.0035378365106819194	0.0034322175766945302	0.003294862757349667	0.003135131964060596	0.002963716271105852	0.0027920004876377355	0.0026314269664413593	0.0024929068417588684	0.0023863124560195457	0.002320071770167609	0.0023008743265322314	0.0023334900649383925	0.002420697028105824	0.0025633108420399665	0.002760306490929464	0.0030090201373448775	0.003305415011305985	0.0036443910213710797	0.0040201138388111825	0.0044263373180197674	0.004856694688895617	0.005304939794240628	0.005765129520556762	0.0062317511067233565	0.006699810872044643	0.007164911233298659	0.007623347930041746	0.008072257128376007	0.008509831750227438	0.008935608747242352	0.009350806449734907	0.009758667241367414	0.010164740135569554	0.01057702499167611	0.011005899073557533	0.011463759916831552	0.011964346375830763	0.01252174004054896	0.013149097124421269	0.013857209470749117	0.01465303437820437	0.015538358553448546	0.01650876543080584	0.017553054266655353	0.018653214844666366	0.019784998693294597	0.02091905550187951	0.02202253323310536	0.023060983729324552	0.024000381777221653	0.024809060011846792	0.025459384951358577	0.0259290458817684	0.026201889084060178	0.026268293562065698	0.02612513963999483	0.025775459622792568	0.025227875364479877	0.02449592119427634	0.023597326904604428	0.022553302348581675	0.02138783182934311	0.02012696120297041	0.018798049065499554	0.01742895736251675	0.016047174124527462	0.014678886521998053	0.013348049094402131	0.012075512938723701	0.010878291587716303	0.009769035712919096	0.008755772136186902	0.007841936058860279	0.0070266937702139695	0.0063055217700238265	0.005670982063227965	0.005113615822835379	0.004622870392926986	0.004187977721201853	0.0037987143701142937	0.003445991905571853	0.0031222488606401128	0.0028216386819399316	0.002540029367309231	0.0022748476331244105	0.00202481180419676	0.0017896024046685673	0.001569517744030691	0.0013651546035797677	0.0011771431038996106	0.0010059520528229572	0.0008517686528856049	0.000714446167534776	0.0005935061606525056	0.0004881786264653773	0.0003974633855779958	0.0003201986727950961	0.0002551267613225891	0.00020095066050144873	0.00015637954364560412	0.00012016312729302734	9.111662176038995e-05	6.813828100439678e-05	5.022133180647216e-05	3.646152144165928e-05	2.606098360983163e-05	1.8328760169627e-05	1.2678184813955705e-05	8.621395522887941e-06	5.761408279141734e-06	3.782361527718512e-06	2.438658403553145e-06	1.5437568208178012e-06	9.592856590965933e-07	5.850224441248504e-07	3.5008920769798396e-07
background	saturation	0.006783070543886695	0.0070246408660356585	0.007264453389319073	0.007501857465428905	0.0077361957582124585	0.007966807012241483	0.008193028950749264	0.008414201298005115	0.008629668918152632	0.008838785059048454	0.009040914685804882	0.009235437884684273	0.00942175331385895	0.009599281673491668	0.009767469163770776	0.00992579089611718	0.010073754219922931	0.010210901925034988	0.010336815278889518	0.010451116856839929	0.010553473124883027	0.010643596735718	0.010721248501881872	0.010786239013566705	0.010838429873572555	0.0108777345275871	0.010904118674473886	0.010917600248332436	0.010918248971577935	0.010906185485969078	0.010881580076171533	0.01084465100785869	0.010795662509301944	0.010734922431679644	0.010662779628747242	0.010579621100894105	0.01048586895182905	0.01038197720808681	0.01026842855216943	0.010145731019410372	0.010014414706596773	0.009875028537070804	0.009728137122558858	0.009574317756487571	0.009414157567211296	0.009248250852597553	0.009077196610012944	0.00890159626815921	0.008722051619664058	0.008539162946074699	0.00835352732016247	0.008165737064438058	0.007976378339690095	0.007786029833357157	0.00759526151475455	0.007404633422694303	0.0072146944509114035	0.007025981097953023	0.006839016150768201	0.006654307275082112	0.006472345490641027	0.006293603515425251	0.006118533969771176	0.005947567438816765	0.00578111039956382	0.005619543026898403	0.005463216900882602	0.0053124526452820175	0.005167537534384542	0.0050287231114722625	0.004896222867622887	0.004770210033658515	0.0046508155408771365	0.004538126207578491	0.004432183208251921	0.004332980880590423	0.0042404659222342895	0.004154537024373752	0.0040750449831367655	0.004001793322179736	0.003934539451244297	0.0038729963758336143	0.0038168349628161214	0.0037656867559229114	0.0037191473240238003	0.0036767801140116033	0.003638120769361939	0.0036026818652308387	0.0035699580015558217	0.003539431187272683	0.00351057644166015	0.003482867533158009	0.003455782771918645	0.003428810769954654	0.0034014560821044896	0.0033732446421782095	0.0033437289115478093	0.003312492662050213	0.0032791553212728674	0.00324337581595134	0.003204855858150411	0.003163342628918913	0.0031186308249761224	0.003070564045454788	0.003019035507535413	0.0029639880916935697	0.0029054137289853993	0.00284335215406349	0.002777889058207791	0.0027091536863575456	0.0026373159307493746	0.002562582981142955	0.0024851955976221336	0.0024054240765045785	0.0023235639829231078	0.0022399317251400913	0.002154860045641951	0.002068693502589288	0.001981784012354465	0.0018944865197784392	0.001807154857560974	0.0017201378500212498	0.0016337757095037616	0.0015483967661392847	0.001464314563690722	0.001381825346005501	0.0013012059503417289	0.001222712115707195	0.0011465772065073717	0.001073011344384399	0.0010022009342676625	0.0009343085644522097	0.0008694732550562706	0.0008078110245444218	0.0007494157401775356	0.0006943602152830453	0.0006426975141285717	0.0005944624239100541	0.0005496730528985714	0.0005083325140810531	0.000470430654621646	0.00043594579309678614	0.0004048464286467605	0.0003770928888646262	0.0003526388863335859	0.00033143295715033425	0.00031341975846049184	0.00029854120591216236	0.0002867374359380548	0.0002779475818431993	0.0002721103567466301	0.0002691644404489477	0.0002690486712255524	0.00027170204733393004	0.000277063546632996	0.00028507177610668095	0.00029566446622905667	0.00030877782797295223	0.00032434579281877404	0.0003422991583372846	0.00036256466377316735	0.00038506402152073497	0.0004097129314363991	0.0004364201055542338	0.0004650863309438593	0.000495603598160329	0.0005278543219748931	0.00056171067984003	0.0005970340918350957	0.0006336748636709038	0.0006714720117210604	0.0007102532860224957	0.0007498354037839029	0.0007900245022048796	0.0008306168153956117	0.0008713995759612458	0.0009121521374487967	0.0009526473094267014	0.0009926528925628944	0.0010319333967749398	0.0010702519214361187	0.0011073721728245504	0.001143060590586263	0.0011770885520304562	0.0012092346206614695	0.0012392868035432762	0.001267044780942865	0.0012923220712495352	0.0013149480944435153	0.0013347700983989718	0.0013516549140459094	0.0013654905078578986	0.0013761873032364091	0.0013836792460696738	0.001387924593981535	0.0013889064134671658	0.0013866327741401377	0.0013811366345824593	0.0013724754196830149	0.001360730294754203	0.0013460051470150216	0.001328425290107634	0.0013081359120654158	0.0012853002914739481	0.0012600978103734118	0.0012327217956656614	0.0012033772233507871	0.0011722783217815108	0.0011396461112613977	0.0011057059177142566	0.0010706848978241184	0.0010348096120113242	0.0009983036799098828	0.0009613855506976402	0.0009242664177700299	0.0008871483039163226	0.0008502223394390431	0.0008136672516425492	0.0007776480798992817	0.0007423151261762863	0.0007078031465630913	0.0006742307850743436	0.000641700246890268	0.0006102972043214095	0.0005800909252087537	0.0005511346102536606	0.0005234659229610516	0.0004971076935093584	0.00047206877595612105	0.00044834503676149544	0.00042592045166532237	0.0004047682874782757	0.0003848523453261597	0.0003661282422923679	0.0003485447092031648	0.0003320448834542533	0.0003165675772404537	0.00030204850327537745	0.0002884214420245327	0.00027561933657217264	0.00026357530344851496	0.0002522235500099144	0.00024150019124274607	0.0002313439611076465	0.00022169681571370702	0.0002125044276758197	0.00020371657293103343	0.00019528741304496332	0.0001871756776056577	0.00017934475266391574	0.00017176268232503458	0.0001644020915216894	0.0001572400387002209	0.00015025780763663858	0.00014344064787186496	0.00013677747332947244
